测试点,测试点,相似度
"[19, 5, 2]","[23, 6, 8]",0.46499604586345744
"[3, 4, 1]","[3, 3, 7]",0.20712492001000907
"[7, 3, 4]","[7, 2, 2]",0.18252277288460364
"[12, 6, 4]","[15, 8, 2]",0.4972458413373149
"[4, 3, 3]","[3, 3, 1]",0.19275787529055868
"[7, 7, 4]","[7, 8, 2]",0.4705291313982425
"[4, 8, 4]","[3, 8, 2]",0.3356732078035768
"[24, 2, 4]","[23, 3, 2]",0.48515110134852535
"[7, 3, 5]","[3, 3, 3]",0.3358382198180145
"[7, 7, 2]","[7, 8, 8]",0.3859157542879444
"[25, 4, 4]","[23, 3, 2]",0.3267652822616421
"[25, 5, 1]","[26, 6, 7]",0.2614609399290901
"[26, 2, 1]","[26, 3, 7]",0.5004737591201731
"[24, 2, 1]","[26, 3, 7]",0.46303533689508725
"[24, 5, 2]","[26, 3, 8]",0.31137277625210297
"[4, 8, 2]","[7, 8, 8]",0.433041118083927
"[7, 3, 3]","[7, 2, 1]",0.18334847374502428
"[18, 3, 1]","[23, 3, 7]",0.4199133267561468
"[13, 3, 1]","[23, 3, 7]",0.593508472922573
"[10, 7, 1]","[11, 8, 7]",0.3260474997172517
"[9, 3, 4]","[7, 2, 2]",0.2145481238949134
"[29, 2, 1]","[18, 2, 7]",0.3930109539196419
"[3, 4, 4]","[3, 3, 2]",0.16579036230898878
"[3, 7, 3]","[3, 8, 1]",0.31585852886138494
"[25, 5, 4]","[26, 6, 2]",0.38210689144865734
"[27, 6, 3]","[26, 6, 1]",0.08193411981578738
"[25, 4, 2]","[26, 3, 8]",0.22099341798355282
"[27, 6, 5]","[26, 6, 3]",0.10584160269931672
"[26, 2, 4]","[26, 3, 2]",0.3709895685807547
"[2, 10, 5]","[7, 8, 3]",0.42161523474489143
"[8, 10, 2]","[3, 8, 1]",0.3972877300589611
"[12, 2, 5]","[3, 3, 3]",0.3986413315526418
"[24, 5, 3]","[23, 3, 1]",0.3919099481618225
"[18, 3, 3]","[18, 2, 1]",0.2542664638647927
"[5, 4, 5]","[3, 3, 3]",0.3379718221078801
"[13, 3, 3]","[13, 2, 1]",0.37836392498292803
"[3, 7, 2]","[3, 8, 8]",0.445200278806169
"[5, 4, 1]","[26, 3, 3]",0.42370189869622066
"[6, 7, 5]","[3, 8, 3]",0.23790323233736616
"[25, 5, 3]","[26, 3, 1]",0.39929392604005765
"[7, 5, 3]","[3, 3, 1]",0.3606092505225663
"[26, 2, 5]","[26, 3, 3]",0.5318378985098733
"[12, 6, 3]","[23, 3, 1]",0.6625445997089587
"[10, 7, 4]","[11, 8, 2]",0.3529001607973174
"[25, 4, 1]","[23, 3, 7]",0.38293660202760804
"[10, 8, 4]","[11, 8, 2]",0.1677422064974799
"[6, 2, 5]","[13, 2, 3]",0.4258298479174627
"[24, 2, 3]","[23, 3, 1]",0.1850536745057859
"[4, 3, 4]","[3, 3, 2]",0.12328862369536935
"[6, 7, 3]","[7, 8, 1]",0.37976215312925043
"[10, 8, 3]","[19, 8, 1]",0.5555459897922019
"[18, 3, 4]","[18, 2, 2]",0.2169988864982546
"[19, 2, 3]","[18, 2, 1]",0.22365686291230577
"[23, 5, 4]","[23, 6, 2]",0.26355439326466545
"[7, 5, 5]","[3, 8, 3]",0.384946645941217
"[22, 3, 3]","[23, 3, 1]",0.19868115264049382
"[19, 2, 4]","[18, 2, 2]",0.1864124677471138
"[6, 2, 3]","[7, 2, 1]",0.15123607940136324
"[5, 4, 4]","[3, 3, 2]",0.16556351249971746
"[25, 4, 5]","[23, 3, 3]",0.6090688061431379
"[25, 4, 3]","[23, 3, 1]",0.3409730118667448
"[8, 10, 1]","[7, 2, 3]",0.7185758565619237
"[23, 5, 3]","[23, 6, 1]",0.29932117704447975
"[3, 7, 4]","[3, 8, 2]",0.39850172988926286
"[13, 3, 4]","[13, 2, 2]",0.3054021555611882
"[10, 8, 5]","[11, 8, 3]",0.22287289543939995
"[8, 10, 5]","[11, 8, 3]",0.43658599349231025
"[25, 5, 5]","[7, 2, 7]",0.6352292976504539
"[6, 7, 2]","[7, 8, 8]",0.45123036130232436
"[29, 2, 2]","[26, 3, 8]",0.20273312349175365
"[6, 2, 2]","[7, 2, 8]",0.3565520970762185
"[6, 2, 4]","[7, 2, 2]",0.1550490582512216
"[12, 2, 2]","[13, 2, 8]",0.1548063597625988
"[4, 8, 1]","[3, 8, 7]",0.39182507997601806
"[3, 4, 5]","[3, 3, 3]",0.3536759090069471
"[6, 7, 1]","[7, 8, 7]",0.5203838811626493
"[26, 2, 2]","[23, 3, 8]",0.2240312639712063
"[12, 2, 1]","[18, 2, 7]",0.6071297402358933
"[27, 4, 1]","[26, 3, 7]",0.3375272835092621
"[24, 5, 5]","[23, 6, 3]",0.5769948016527082
"[12, 5, 1]","[11, 8, 7]",0.5665415495866996
"[12, 2, 4]","[13, 2, 2]",0.24244076049125698
"[12, 6, 1]","[11, 8, 7]",0.431144697561084
"[10, 8, 1]","[11, 8, 7]",0.23454608735472807
"[6, 2, 1]","[7, 2, 7]",0.39545617538617056
"[3, 4, 3]","[3, 3, 1]",0.1760617568157371
"[19, 5, 3]","[18, 2, 1]",0.6045816324346514
"[7, 5, 4]","[3, 3, 2]",0.24785306683692332
"[9, 3, 3]","[7, 2, 1]",0.30962944296763634
"[9, 3, 2]","[13, 2, 8]",0.35934989828241726
"[18, 3, 5]","[13, 2, 3]",0.5967224491749656
"[2, 10, 4]","[3, 8, 1]",0.44820733782876954
"[24, 4, 2]","[23, 3, 8]",0.28148636058293736
"[22, 3, 2]","[23, 3, 8]",0.16546387407469212
"[5, 4, 2]","[7, 2, 8]",0.3945510672747892
"[19, 2, 5]","[18, 2, 3]",0.2642303083862847
"[23, 5, 1]","[23, 6, 7]",0.3362735574634234
"[24, 4, 1]","[23, 3, 7]",0.37852773262100414
"[29, 2, 5]","[3, 3, 7]",0.35254970012475617
"[9, 3, 1]","[23, 3, 3]",0.5447041430962369
"[24, 5, 4]","[23, 6, 2]",0.3666905719771198
"[4, 3, 1]","[26, 3, 3]",0.26376625040167523
"[22, 3, 5]","[23, 3, 3]",0.37221304122310067
"[12, 5, 2]","[13, 2, 8]",0.3713403104000173
"[18, 3, 2]","[18, 2, 8]",0.17483105446466482
"[23, 5, 2]","[23, 6, 8]",0.3405682088576251
"[13, 3, 5]","[3, 3, 3]",0.4494801382146948
"[10, 7, 3]","[23, 6, 1]",0.5972324671131999
"[12, 5, 4]","[13, 2, 2]",0.42259276494898645
"[3, 4, 2]","[3, 3, 8]",0.6324840426039657
"[19, 2, 2]","[18, 2, 8]",0.1932572836589444
"[24, 2, 2]","[23, 3, 8]",0.18003078170230932
"[22, 3, 1]","[23, 3, 7]",0.167431487802798
"[26, 2, 3]","[26, 3, 1]",0.2056216953793514
"[23, 5, 5]","[23, 6, 3]",0.37522359125923094
"[7, 3, 1]","[7, 2, 7]",0.3305393320323623
"[19, 5, 1]","[23, 6, 7]",0.34378234780858763
"[27, 4, 2]","[26, 3, 8]",0.22877575471899678
"[6, 7, 4]","[7, 8, 2]",0.3830981885899841
"[29, 2, 4]","[3, 3, 7]",0.4895200421418145
"[27, 6, 2]","[26, 6, 8]",0.11752662422323971
"[22, 3, 4]","[23, 3, 2]",0.26775862789374044
"[24, 5, 1]","[26, 6, 7]",0.2990646971517476
"[19, 5, 4]","[13, 2, 2]",0.45280156098865104
"[10, 7, 5]","[7, 8, 3]",0.37027615219353355
"[4, 8, 3]","[3, 8, 1]",0.3080212219677404
"[29, 2, 3]","[26, 3, 1]",0.47881703791105656
"[13, 3, 2]","[13, 2, 8]",0.2690713341342937
"[24, 4, 3]","[23, 3, 1]",0.28563025756586474
"[27, 6, 4]","[26, 6, 2]",0.07263470627340987
"[24, 2, 5]","[23, 3, 3]",0.429633818231921
"[10, 8, 2]","[11, 8, 8]",0.34844400874898734
"[9, 3, 5]","[3, 3, 3]",0.35419616337312193
"[2, 10, 1]","[15, 8, 1]",0.5369490683988453
"[3, 7, 5]","[3, 8, 3]",0.17064493967155997
"[7, 7, 1]","[7, 8, 7]",0.44804976284020404
"[12, 5, 5]","[3, 8, 3]",0.37060661626540997
"[19, 2, 1]","[18, 2, 7]",0.19851738383003234
"[4, 8, 5]","[3, 8, 3]",0.15375126850478557
"[27, 6, 1]","[26, 6, 7]",0.10081688246502256
"[2, 10, 3]","[3, 8, 1]",0.4885531728143961
"[8, 10, 4]","[3, 8, 2]",0.6413501234708713
"[2, 10, 2]","[11, 8, 1]",0.6286997030292648
"[4, 3, 5]","[3, 3, 3]",0.18294082765508465
"[24, 4, 4]","[23, 3, 2]",0.3094872340797219
"[27, 4, 4]","[26, 3, 2]",0.6355471143780967
"[4, 3, 2]","[3, 3, 8]",0.6445208393971219
"[5, 4, 3]","[3, 3, 1]",0.25891495170131806
"[12, 6, 2]","[26, 6, 8]",0.5478244905018713
"[7, 3, 2]","[7, 2, 8]",0.30771105023590567
"[3, 7, 1]","[3, 8, 7]",0.5462859543253265
"[7, 7, 3]","[7, 8, 1]",0.3970183755888053
"[7, 5, 1]","[26, 6, 4]",0.6670593036248067
"[8, 10, 3]","[7, 8, 1]",0.7773251668262234
"[12, 5, 3]","[26, 3, 1]",0.5229200920715897
"[7, 7, 5]","[3, 8, 3]",0.2338486106536087
"[24, 4, 5]","[23, 3, 3]",0.4236369678779887
"[7, 5, 2]","[26, 6, 8]",0.4333712080171182
"[27, 4, 5]","[26, 3, 3]",0.12902704099308776
"[12, 6, 5]","[3, 8, 3]",0.4094127732436922
"[27, 4, 3]","[26, 3, 1]",0.2598276350818907
"[19, 5, 5]","[19, 8, 3]",0.5140176411885372
"[25, 5, 2]","[26, 3, 8]",0.2985716459220315
"[12, 2, 3]","[13, 2, 1]",0.273066033900281
"[10, 7, 2]","[11, 8, 8]",0.5046393500752396
